name,email,phone,links,role,skills,education,experience_years,summary
Megan Williams,olkhahbc@email.com,"+1 7504120418
",https://linkedin.com/in/lnupmvhcbc; https://github.com/xlpsezidcf,Risk Analyst,sql; tableau; power bi; r; pandas; c++; machine learning; statistics; data mining; git; docker; data cleaning; model deployment; data governance; bayesian inference,Master of Science in Intelligent Systems,7,"A dedicated and results-driven Risk Analyst with over 7 years of experience in data analysis, machine
learning, and predictive modeling. Skilled in transforming business needs into technical solutions using
modern data science tools and practices. Passionate about solving real-world problems through data-
driven approaches and delivering measurable outcomes."
Henry Roberts,xuovtsbh@email.com,"+1 5012568462
",https://linkedin.com/in/mvbqwesjbi; https://github.com/vcokdenkjv,Data Scientist,tableau; power bi; r; machine learning; statistics; git; docker; feature engineering; model deployment; data governance; bayesian inference; eda; fastapi,Bachelor of Science in Information Technology,14,"A dedicated and results-driven Climate Data Scientist with over 14 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Aaron Cook,cxvdtnvj@email.com,"+1 4672347414
",https://linkedin.com/in/qbxrrpvfdj; https://github.com/cowrkusxrs,Business Intelligence Analyst,tableau; power bi; r; machine learning; statistics; git; docker; data cleaning; natural language processing; computer vision; model deployment; bayesian inference,Bachelor of Science in Operations Research,10,"A dedicated and results-driven Business Intelligence Analyst with over 10 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
David Martinez,xnxhakqj@email.com,"+1 4558222955
",https://linkedin.com/in/zvvbsbusrw; https://github.com/ipwqqqfdcc,Data Engineer,sql; tableau; power bi; r; mysql; postgresql; excel; machine learning; statistics; big data; git; docker; computer vision; azure; model deployment; a/b testing; fastapi,,12,"A dedicated and results-driven Big Data Engineer with over 12 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Mia Clark,tabhqkjp@email.com,"+1 1904792617
",https://linkedin.com/in/tpenxukywu; https://github.com/oigfqbznxh,Data Analyst,tableau; power bi; r; excel; java; machine learning; statistics; git; docker; etl pipelines; model deployment; mlops; data lakes; bayesian inference; fastapi,Master of Science in Data Analytics,4,"A dedicated and results-driven IoT Data Analyst with over 4 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Mia Garcia,lbikmhpe@email.com,"+1 8410598840
",https://linkedin.com/in/cssrutzowx; https://github.com/lyvrnrmplo,Data Analyst,sql; tableau; power bi; r; postgresql; machine learning; statistics; data mining; git; docker; etl pipelines; model deployment,Master of Science in Applied Data Science,4,"A dedicated and results-driven Healthcare Data Analyst with over 4 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Zane Green,xfnrywba@email.com,"+1 4887949425
",https://linkedin.com/in/gxdrmpoyjn; https://github.com/ushnp,Data Strategist,sql; tableau; power bi; r; scikit-learn; machine learning; statistics; data mining; git; docker; data cleaning; etl pipelines; model deployment; mlops; data ethics; eda,Master of Science in Computer Science,3,"A dedicated and results-driven Data Strategist with over 3 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Ursula Rodriguez,xqrlyzxl@email.com,"+1 3510693029
",https://linkedin.com/in/hesxxrzeux; https://github.com/pnmfsdecne,Quantitative Analyst,tableau; power bi; r; excel; machine learning; statistics; big data; git; docker; kubernetes; seaborn; matplotlib; model deployment; data lakes; data governance,Master of Science in Information Systems,8,"A dedicated and results-driven Quantitative Analyst with over 8 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Willow Gray,niutqkmj@email.com,"+1 9594753214
",https://linkedin.com/in/kkzlrwasoc; https://github.com/gyrnvxufuj,Data Scientist,tableau; power bi; r; machine learning; statistics; git; docker; model deployment; data ethics; hugging face; fastapi,Master of Science in Business Intelligence,5,"A dedicated and results-driven Data Scientist with over 5 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Ursula Collins,olkcxvsl@email.com,"+1 7189026890
",https://linkedin.com/in/piuv; https://github.com/ok,Research Analyst,sql; tableau; power bi; r; excel; java; machine learning; statistics; data mining; git; docker; aws; model deployment; bayesian inference,Bachelor of Engineering in Information Systems,3,"A dedicated and results-driven Research Analyst with over 3 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Wendy Anderson,lcohewjs@email.com,"+1 6416129179
",https://linkedin.com/in/euujixoafq; https://github.com/loejbtfxyk,Decision Scientist,sql; tableau; power bi; r; scikit-learn; machine learning; statistics; git; docker; computer vision; model deployment; data lakes; a/b testing; bayesian inference,Bachelor of Science in Mathematics,6,"A dedicated and results-driven Decision Scientist with over 6 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Sophia Smith,suibrstv@email.com,"+1 8869517697
",https://linkedin.com/in/wlejlnefzw; https://github.com/bmiotisrai,Fraud Analyst,tableau; power bi; r; machine learning; statistics; spark; git; docker; azure; model evaluation; model deployment; data ethics; hugging face,Bachelor of Science in Information Technology,6,"A dedicated and results-driven Fraud Analyst with over 6 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Caleb Adams,itetsbcm@email.com,"+1 3108555818
",https://linkedin.com/in/ksddmjlmzi; https://github.com/sqbehbausf,Fraud Analyst,python; tableau; power bi; r; machine learning; statistics; hadoop; git; docker; model deployment; mlops; data governance; a/b testing,Master of Technology in AI and Robotics,15,"A dedicated and results-driven Fraud Analyst with over 15 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Vanessa Hill,oqfroinz@email.com,"+1 3062919460
",https://linkedin.com/in/uhvevzpxoi; https://github.com/op,Statistical Programmer,tableau; power bi; r; numpy; scikit-learn; machine learning; statistics; data visualization; git; docker; etl pipelines; model evaluation; model deployment; data lakes,Bachelor of Technology in Data Science and AI,10,"A dedicated and results-driven Statistical Programmer with over 10 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Bob Smith,jfdqwkew@email.com,"+1 6197727339
",https://linkedin.com/in/ogzfvvdqul; https://github.com/dzlgocmfnr,Data Analyst,sql; tableau; power bi; r; postgresql; excel; java; c++; machine learning; statistics; spark; git; docker; seaborn; matplotlib; model deployment; data ethics; transformers,Master of Science in Statistics,5,"A dedicated and results-driven Geospatial Data Analyst with over 5 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Wendy Adams,dpicqjgl@email.com,"+1 0613149023
",https://linkedin.com/in/cwreyjwldf; https://github.com/ktuvgpdhmy,Data Analytics Lead,sql; tableau; power bi; r; machine learning; statistics; git; docker; data cleaning; natural language processing; matplotlib; model deployment; a/b testing,Master of Science in Applied Data Science,13,"A dedicated and results-driven Data Analytics Lead with over 13 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Tom Nelson,sismxdrv@email.com,"+1 8836968403
",https://linkedin.com/in/jmpvmmmg; https://github.com/qfpvlfbhhs,Personalized Systems Specialist,tableau; power bi; r; numpy; c++; machine learning; statistics; big data; git; docker; model deployment; mlops; fastapi,Bachelor of Science in Computer Engineering,14,"A dedicated and results-driven Personalized Systems Specialist with over 14 years of experience
in data analysis, machine learning, and predictive modeling. Skilled in transforming business needs
into technical solutions using modern data science tools and practices. Passionate about solving
real-world problems through data-driven approaches and delivering measurable outcomes."
Megan Martin,ohluwefm@email.com,"+1 4745294751
",https://linkedin.com/in/xiqunwlytu; https://github.com/fphxrbpmqn,Nlp Engineer,tableau; power bi; r; pandas; java; c++; machine learning; statistics; big data; git; docker; data wrangling; aws; azure; model deployment; dask,Master of Science in Computer Science,15,"A dedicated and results-driven NLP Engineer with over 15 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Samantha Baker,xnmycjpv@email.com,"+1 1522767858
",https://linkedin.com/in/mtoceiewoo; https://github.com/wmvdxkqrzb,Business Analyst,tableau; power bi; r; machine learning; statistics; git; docker; kubernetes; data wrangling; plotly; model deployment; fastapi,Master of Science in Intelligent Systems,12,"A dedicated and results-driven Business Analyst with over 12 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Riley Jones,alxvnslo@email.com,"+1 0434728944
",https://linkedin.com/in/osbiwxqsll; https://github.com/morrzygkra,Business Analyst,tableau; power bi; r; machine learning; statistics; git; docker; seaborn; model deployment; data lakes; data ethics; fastapi; dask,Bachelor of Science in Information Technology,3,"A dedicated and results-driven Business Analyst with over 3 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Nathan Gray,gewvyejh@email.com,"+1 8443203414
",https://linkedin.com/in/lyugyohqbx; https://github.com/cwfbdxbjrg,Computer Vision Engineer,tableau; power bi; r; machine learning; statistics; hadoop; git; docker; computer vision; model deployment; bayesian inference,Master of Science in Statistics,5,"A dedicated and results-driven Computer Vision Engineer with over 5 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Frank Lee,iswdafoq@email.com,"+1 4324469765
",https://linkedin.com/in/gtktoicpwm; https://github.com/loprtabhvn,Data Analyst,sql; tableau; power bi; r; postgresql; machine learning; deep learning; statistics; big data; spark; git; docker; data cleaning; plotly; etl pipelines; model deployment,Master of Science in Big Data Engineering,7,"A dedicated and results-driven Data Analyst with over 7 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
David Smith,yhmboeby@email.com,"+1 4536028610
",https://linkedin.com/in/eniekdckcw; https://github.com/vkfsyfckso,Data Analyst,tableau; power bi; r; machine learning; statistics; git; docker; aws; google cloud platform (gcp); model deployment; data lakes; hugging face,Bachelor of Science in Bioinformatics,4,"A dedicated and results-driven Transportation Data Analyst with over 4 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Ivy Roberts,jhnrxwnj@email.com,"+1 1668408741
",https://github.com/dbvsthwsjf,Ai Ethicist,tableau; power bi; r; machine learning; statistics; git; docker; kubernetes; model evaluation; model deployment; bayesian inference; transformers; hugging face,,5,"A dedicated and results-driven AI Ethicist with over 5 years of experience in data analysis, machine
learning, and predictive modeling. Skilled in transforming business needs into technical solutions
using modern data science tools and practices. Passionate about solving real-world problems through
data-driven approaches and delivering measurable outcomes."
Pam Collins,tbfvqhbv@email.com,"+1 6532520661
",https://linkedin.com/in/zmzbuwdqvc; https://github.com/ttqjzptfrw,Data Analyst,sql; tableau; power bi; r; postgresql; excel; machine learning; statistics; git; docker; etl pipelines; model deployment; fastapi,Bachelor of Science in Computer Engineering,12,"A dedicated and results-driven Data Analyst with over 12 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Victor Allen,axilbcze@email.com,"+1 5419787762
",https://linkedin.com/in/sxkaiguuwh; https://github.com/lrnvzlxfbt,Data Analyst,tableau; power bi; r; numpy; c++; machine learning; statistics; git; docker; model deployment; mlops; a/b testing; data ethics; bayesian inference; transformers,Master of Science in Business Analytics,14,"A dedicated and results-driven IoT Data Analyst with over 14 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Bella Allen,hbfxkisx@email.com,"+1 6984448575
",https://linkedin.com/in/aphllfgiso; https://github.com/suhutwubai,Data Analyst,tableau; power bi; r; numpy; machine learning; statistics; data mining; git; docker; aws; model deployment; bayesian inference,Bachelor of Science in Industrial Engineering,14,"A dedicated and results-driven IoT Data Analyst with over 14 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Bella Adams,qusrjquu@email.com,"+1 7985159536
",https://linkedin.com/in/dcbqleldtj; https://github.com/xbjvklupvq,Business Analyst,python; sql; tableau; power bi; r; numpy; java; machine learning; statistics; git; docker; etl pipelines; azure; model deployment; mlops; a/b testing,Master of Science in Applied Data Science,15,"A dedicated and results-driven Business Analyst with over 15 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Charlie Wright,grvbwuyz@email.com,"+1 3894883096
",https://linkedin.com/in/pboeqnhfuc; https://github.com/xoqjlxepdy,Knowledge Graph Engineer,tableau; power bi; r; pandas; excel; machine learning; statistics; git; docker; computer vision; model deployment; transformers; hugging face,Bachelor of Science in Computer Engineering,3,"A dedicated and results-driven Knowledge Graph Engineer with over 3 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Fiona Johnson,exbqyjea@email.com,"+1 7468148011
",https://linkedin.com/in/opksbdyegh; https://github.com/xmejvlunfg,Data Analyst,tableau; power bi; r; c++; machine learning; statistics; data visualization; big data; git; docker; model deployment; a/b testing,Bachelor of Science in Information Technology,5,"A dedicated and results-driven Healthcare Data Analyst with over 5 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Zach Collins,usbwbzya@email.com,"+1 3488380829
",https://linkedin.com/in/qtzwshqmfh; https://github.com/nxrzzuiktr,Data Analyst,tableau; power bi; r; excel; machine learning; deep learning; statistics; data visualization; git; docker; kubernetes; aws; model deployment; data ethics; fastapi,Bachelor of Science in Software Engineering,13,"A dedicated and results-driven HR Data Analyst with over 13 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Oscar Hill,rwxspesx@email.com,"+1 9704283995
",https://linkedin.com/in/ozjqhcozkk; https://github.com/xkfccmaafb,Fraud Analyst,sql; tableau; power bi; r; postgresql; machine learning; statistics; git; docker; data cleaning; seaborn; matplotlib; plotly; model evaluation; model deployment; eda,Bachelor of Science in Bioinformatics,8,"A dedicated and results-driven Fraud Analyst with over 8 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Wendy Hall,jgusyptn@email.com,"+1 9362960891
",https://linkedin.com/in/vbxiodevhv; https://github.com/itaddlljen,Data Scientist,sql; tableau; power bi; r; java; machine learning; statistics; git; docker; kubernetes; matplotlib; model deployment; data lakes,Master of Science in Computational Statistics,6,"A dedicated and results-driven Data Scientist with over 6 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Henry Allen,grjjnomz@email.com,"+1 4331109640
",https://linkedin.com/in/opjcjiunas; https://github.com/bqtilgwyuw,Data Analyst,sql; tableau; power bi; r; mysql; machine learning; deep learning; statistics; big data; git; docker; matplotlib; google cloud platform (gcp); model deployment; mlops,Master of Technology in AI and Robotics,5,"A dedicated and results-driven IoT Data Analyst with over 5 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
George Lee,tsfparls@email.com,"+1 4551276459
",https://linkedin.com/in/xcwfejshfz; https://github.com/bvilwfncem,Data Scientist,tableau; power bi; r; c++; machine learning; statistics; data visualization; git; docker; computer vision; aws; model deployment; transformers,Master of Science in Predictive Analytics,6,"A dedicated and results-driven Climate Data Scientist with over 6 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Karen Gray,pwvmqiui@email.com,"+1 6879761594
",https://linkedin.com/in/pbwizclodw; https://github.com/fqkvdustpa,Machine Learning Engineer,tableau; power bi; r; numpy; excel; machine learning; statistics; git; docker; kubernetes; google cloud platform (gcp); model evaluation; model deployment,Bachelor of Science in Data Management,4,"A dedicated and results-driven Machine Learning Engineer with over 4 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Oscar Hall,gqzbymgo@email.com,"+1 8918660952
",https://linkedin.com/in/dkanyfvoco; https://github.com/tvilpnowvv,Data Journalist,tableau; power bi; r; machine learning; statistics; big data; spark; git; docker; model deployment; dask,Bachelor of Science in Information Technology,5,"A dedicated and results-driven Data Journalist with over 5 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Quinn Martin,abetdxzb@email.com,"+1 5447540588
",https://linkedin.com/in/ieaaqmcpia; https://github.com/sjvlsjwyng,Data Engineer,sql; tableau; power bi; r; pandas; mysql; postgresql; machine learning; statistics; git; docker; seaborn; matplotlib; model deployment; mlops; transformers; hugging face; dask,Master of Engineering in Data Engineering,11,"A dedicated and results-driven Data Science Instructor with over 11 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Tom Garcia,dvsfmvch@email.com,"+1 9374716755
",https://linkedin.com/in/acemkkztlv; https://github.com/iuckdjxsne,Ml Ops Engineer,tableau; power bi; r; numpy; excel; machine learning; statistics; git; docker; feature engineering; model deployment; data governance; eda; transformers,Bachelor of Science in Software Engineering,4,"A dedicated and results-driven ML Ops Engineer with over 4 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Megan Lee,hplbhtlk@email.com,"+1 4494064116
",https://linkedin.com/in/wpkgpkkhfn; https://github.com/wgxjwefpfs,Machine Learning Engineer,tableau; power bi; r; pandas; excel; java; machine learning; statistics; data mining; git; docker; seaborn; matplotlib; model deployment; data lakes; data ethics,Bachelor of Science in Operations Research,4,"A dedicated and results-driven Machine Learning Engineer with over 4 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Bella King,esoiggod@email.com,"+1 6031096645
",https://linkedin.com/in/tftlytqlbs; https://github.com/pvwlyuxgrt,Data Analyst,tableau; power bi; r; pandas; java; machine learning; statistics; git; docker; data wrangling; google cloud platform (gcp); model deployment,Bachelor of Science in Bioinformatics,15,"A dedicated and results-driven Data Analyst with over 15 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Isla Anderson,scphpxpm@email.com,"+1 6039348876
",https://linkedin.com/in/hjfubxiqay; https://github.com/zkjmgihkcg,Data Scientist,tableau; power bi; r; machine learning; statistics; data mining; git; docker; kubernetes; matplotlib; azure; model deployment; transformers,Bachelor of Science in Information Technology,13,"A dedicated and results-driven Actuarial Data Scientist with over 13 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Eve Baker,nljmobzl@email.com,"+1 4776968783
",https://linkedin.com/in/wrvevbraqy; https://github.com/awzgidufkp,Data Consultant,sql; tableau; power bi; r; machine learning; statistics; big data; spark; git; docker; seaborn; matplotlib; feature engineering; model deployment,Bachelor of Science in Articial Intelligence,8,"A dedicated and results-driven Data Consultant with over 8 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Bob Gray,jgafymst@email.com,"+1 1299669517
",https://linkedin.com/in/grqhwtmpry; https://github.com/bebwhtaied,Data Architect,sql; tableau; power bi; r; excel; java; machine learning; statistics; data mining; spark; git; docker; azure; model deployment; eda,Master of Science in Quantitative Finance,10,"A dedicated and results-driven Data Architect with over 10 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Bob Rogers,onicwbqw@email.com,"+1 4770936660
",https://linkedin.com/in/cjrtzihghd; https://github.com/jptaqsdkof,Data Science Instructor,sql; tableau; power bi; r; pandas; numpy; postgresql; java; machine learning; statistics; hadoop; git; docker; computer vision; model deployment,,15,"A dedicated and results-driven Data Science Instructor with over 15 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Xavier Adams,mvfbryst@email.com,"+1 9368802681
",https://linkedin.com/in/rpnwtkndan; https://github.com/rdhqclqbpz,Business Analyst,sql; tableau; power bi; r; postgresql; machine learning; statistics; spark; git; docker; model deployment; mlops; bayesian inference; fastapi; dask,Master of Science in Geospatial Data Science,14,"A dedicated and results-driven Business Analyst with over 14 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Ethan Williams,,"+1 3342099717
",https://linkedin.com/in/wnydznzzvu; https://github.com/kmzrkwbepg,Data Scientist,tableau; power bi; r; pandas; excel; machine learning; statistics; git; docker; computer vision; etl pipelines; model deployment,Master of Science in Machine Learning,5,"A dedicated and results-driven Sports Data Scientist with over 5 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Caleb Evans,jhvuwlou@email.com,"+1 8658453163
",https://linkedin.com/in/lyoswtqgnr; https://github.com/cvfgftdlve,Data Engineer,tableau; power bi; r; excel; machine learning; statistics; big data; hadoop; spark; git; docker; model deployment; mlops; transformers,Master of Science in Big Data Engineering,11,"A dedicated and results-driven Data Analytics Lead with over 11 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Ryan Thomas,hrhoavyi@email.com,"+1 7140024364
",https://linkedin.com/in/pesqeshcmb; https://github.com/ncemmlrdsh,Open Source Contributor (Data),sql; tableau; power bi; r; scikit-learn; mysql; postgresql; machine learning; statistics; git; docker; data cleaning; matplotlib; google cloud platform (gcp); model deployment,Bachelor of Science in Mathematics,13,"A dedicated and results-driven Open Source Contributor (Data) with over 13 years of experience
in data analysis, machine learning, and predictive modeling. Skilled in transforming business needs
into technical solutions using modern data science tools and practices. Passionate about solving
real-world problems through data-driven approaches and delivering measurable outcomes."
Olivia Garcia,etrrtqtq@email.com,"+1 3229772901
",https://linkedin.com/in/oruikchxfo; https://github.com/sosamdhvta,Bi Developer,tableau; power bi; r; numpy; scikit-learn; machine learning; statistics; data visualization; big data; hadoop; git; docker; seaborn; aws; model deployment; eda,Bachelor of Engineering in Information Systems,6,"A dedicated and results-driven BI Developer with over 6 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Fiona Adams,ogxftuhr@email.com,"+1 0130738000
",https://linkedin.com/in/tujidsdcmm; https://github.com/ephlxjmcjd,Risk Analyst,python; tableau; power bi; r; pandas; machine learning; statistics; git; docker; data cleaning; computer vision; model deployment; data governance; data ethics,Master of Science in Applied Data Science,4,"A dedicated and results-driven Risk Analyst with over 4 years of experience in data analysis, machine
learning, and predictive modeling. Skilled in transforming business needs into technical solutions using
modern data science tools and practices. Passionate about solving real-world problems through data-
driven approaches and delivering measurable outcomes."
Isla Baker,gegyojvs@email.com,"+1 7087609635
",https://linkedin.com/in/jjvkyjxrtb; https://github.com/nnwrenpgyz,Data Analyst,tableau; power bi; r; excel; c++; machine learning; statistics; git; docker; kubernetes; aws; model deployment; bayesian inference; eda; hugging face,Bachelor of Technology in Data Science and AI,15,"A dedicated and results-driven Geospatial Data Analyst with over 15 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Frank Lee,oyswbwbh@email.com,"+1 7526738704
",https://linkedin.com/in/kmixwrhtce; https://github.com/ejykqsbruo,Ai Engineer,sql; tableau; power bi; r; numpy; machine learning; statistics; data visualization; data mining; git; docker; seaborn; model evaluation; model deployment,,10,"A dedicated and results-driven AI Engineer with over 10 years of experience in data analysis, machine
learning, and predictive modeling. Skilled in transforming business needs into technical solutions using
modern data science tools and practices. Passionate about solving real-world problems through data-
driven approaches and delivering measurable outcomes."
Oscar Young,imexxkwa@email.com,"+1 6386500723
",https://linkedin.com/in/xlbzyonrix; https://github.com/nsyexlfjcj,Risk Analyst,tableau; power bi; r; machine learning; deep learning; statistics; data visualization; git; docker; plotly; aws; model deployment; data governance,Bachelor of Science in Robotics and AI,7,"A dedicated and results-driven Risk Analyst with over 7 years of experience in data analysis, machine
learning, and predictive modeling. Skilled in transforming business needs into technical solutions using
modern data science tools and practices. Passionate about solving real-world problems through data-
driven approaches and delivering measurable outcomes."
